# The Kid Computer dictionary
#
# Format: word <TAB> part of speech <TAB> definition
# One line per sense, sorted by word. Edit or delete lines freely; the lookup
# script reads this file directly and nothing needs rebuilding.
#
# Rebuild from source with tools/build-dictionary.py
#
# Definitions come from Simple English Wiktionary
# (https://simple.wiktionary.org), used under CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Text has been
# filtered and truncated; see tools/build-dictionary.py for exactly how.
# Derived text remains under CC BY-SA 4.0.
a-	prefix	a- is a prefix that means "not". When put in front of a word, the meaning of that word reverses.
aa	noun	An aa is a type of lava.
aah	intj	Aah is used to express pleasure, surprise, or happiness.
aah	verb	When a person aahs, they express amazement, joy, or surprise by saying aah.
aah	noun	Aah is expression of pleasure, surprise, or happiness.
aahed	verb	The past tense and past participle of aah.
aahing	verb	The present participle of aah.
aahs	verb	The third-person singular form of aah.
aahs	noun	The plural form of aah; more than one (kind of) aah.
aardvark	noun	An aardvark is a nocturnal badger-sized burrowing mammal of Africa, with long ears, a tubular snout, and a long extensible tongue, feeding on ants and termites.
aardvarks	noun	The plural form of aardvark; more than one (kind of) aardvark.
abaci	noun	The plural form of abacus; more than one (kind of) abacus.
aback	adv	Aback can mean toward the back or backward.
aback	adv	When someone is taken aback, he is surprised.
abacus	noun	An abacus is an ancient calculating device. It is made of a frame with beads on various rods.
abacuses	noun	The plural form of abacus; more than one (kind of) abacus.
abaft	prep	toward the back end of a ship
abamp	noun	An abamp is an amount of electricity equal to ten amps.
abampere	noun	An abampere is an amount of electricity equal to ten amperes.
abamperes	noun	The plural form of abampere; more than one (kind of) abampere.
abamps	noun	The plural form of abamp; more than one (kind of) abamp.
abandon	verb	If you abandon something, you go away from it with no plan to return.
abandon	verb	If you abandon something, you give up control of it.
abandon	noun	Abandon is a state where you do not control yourself.
abandoned	verb	The past tense and past participle of abandon.
abandoning	verb	The present participle of abandon.
abandoning	noun	The act of abandoning.
abandonment	noun	An abandonment is an action that causes someone or something to be abandoned.
abandonments	noun	The plural form of abandonment; more than one (kind of) abandonment.
abandons	noun	The plural form of abandon; more than one (kind of) abandon.
abandons	verb	The third-person singular form of abandon.
abase	verb	If you abase someone or something, then you are trying to lower its status. Typically, you abase by insulting, degrading, or lowering worth.
abased	verb	The past tense and past participle of abase.
abasement	noun	An abasement is an action that causes someone or something to be abased (lowered in status).
abasements	noun	The plural form of abasement; more than one (kind of) abasement.
abases	verb	The third-person singular form of abase.
abash	verb	If you are abashed, you are embarrassed or ashamed.
abashed	adj	Feeling discomfort or shame; feeling embarrassed.
abashed	verb	The past tense and past participle of abash.
abashes	verb	The third-person singular form of abash.
